Key,Base,Language,Translation
"app_name","Universal Installer","ar","المثبت العالمي"
"download_notif_running_text","%1$s / %2$s · %3$d%%","ar","%1$s / %2$s · %3$d%%"
"source_action_browse_packages_sub",".APK · .APK+ · .XAPK · .APKS · .APKM","ar",".APK · .APK+ · .XAPK · .APKS · .APKM"
"obb_copy_progress","%1$s / %2$s · %3$d%%","ar","%1$s / %2$s · %3$d%%"
"obb_notif_running_text","%d%%","ar","%d%%"
"apk_info_version_detail","%1$s (%2$d)","ar","%1$s (%2$d)"
"uninstall_current_sort_summary","%1$s %2$s","ar","%1$s %2$s"
"setting_shizuku_installer_preset_play","Google Play Store","ar","متجر Google Play"
"setting_shizuku_installer_preset_aurora","Aurora Store","ar","متجر Aurora"
"setting_shizuku_installer_preset_fdroid","F-Droid","ar","F-Droid"
"setting_shizuku_installer_preset_amazon","Amazon Appstore","ar","متجر تطبيقات Amazon"
"setting_shizuku_installer_preset_samsung","Samsung Galaxy Store","ar","متجر Samsung Galaxy"
"setting_shizuku_installer_preset_huawei","Huawei AppGallery","ar","Huawei AppGallery"
"setting_shizuku_installer_preset_xiaomi","Xiaomi GetApps","ar","Xiaomi GetApps"
"setting_about_app_name","Universal Installer","ar","المثبت العالمي"
"setting_github_title","GitHub","ar","GitHub"
"setting_telegram_title","Telegram","ar","Telegram"
"setting_website_subtitle","universal-installer.pwhs.app","ar","universal-installer.pwhs.app"
"setting_rate_title","Rate App","ar","قيم التطبيق"
"about_creator_subtitle","Pass With High Score","ar","Pass With High Score"
"about_license_subtitle","GNU GPL v3","ar","GNU GPL v3"
"about_btn_ok","OK","ar","موافق"
"installer_mode_shizuku","Shizuku","ar","Shizuku"
"installer_mode_root","Root","ar","Root"
"tv_sync_screen_title","Send to TV","ar","إرسال إلى التلفاز"
"tv_sync_hero_title","Send an app to your TV","ar","إرسال تطبيق إلى تلفازك"
"tv_sync_instructions","On the TV, open Universal Installer → Install, then scan the QR shown there.","ar","على التلفاز، افتح المثبت العالمي ← تثبيت، ثم امسح رمز QR المعروض هناك."
"tv_sync_btn_scan","Scan TV QR","ar","مسح رمز QR للتلفاز"
"tv_sync_prompt_scan","Scan the QR on your TV","ar","امسح رمز QR على تلفازك"
"tv_sync_status_connected","Connected to %1$s","ar","متصل بـ %1$s"
"tv_sync_btn_choose_apk","Choose APK to send","ar","اختر APK للإرسال"
"tv_sync_btn_rescan","Scan a different TV","ar","مسح تلفاز آخر"
"tv_sync_status_sending","Sending…","ar","جاري الإرسال…"
"tv_sync_status_sent","Sent ✓ — confirm the install on your TV","ar","تم الإرسال ✓ — أكد التثبيت على تلفازك"
"tv_sync_status_failed","Failed: %1$s","ar","فشل: %1$s"
"sync_storage_permission_title","Storage Permission Required","ar","إذن التخزين مطلوب"
"sync_storage_permission_message","Sync Server needs full storage access to share and manage APK files. Please grant \"All files access\" in Settings.","ar","يحتاج خادم المزامنة إلى وصول كامل للتخزين لمشاركة وإدارة ملفات APK. يرجى منح \"الوصول إلى جميع الملفات\" في الإعدادات."
"sync_open_settings","Open Settings","ar","افتح الإعدادات"
"sync_qr_code_title","Scan QR Code","ar","مسح رمز QR"
"sync_qr_code_message","Open your camera and scan this code to access the server.","ar","افتح الكاميرا وامسح هذا الرمز للوصول إلى الخادم."
"sync_close","Close","ar","إغلاق"
"sync_server_offline","Server Offline","ar","الخادم غير متصل"
"sync_server_starting","Starting…","ar","جاري البدء…"
"sync_server_online","Server Online","ar","الخادم متصل"
"sync_server_error","Error","ar","خطأ"
"sync_hero_subtitle","Share APK files to other devices on the same Wi-Fi network.","ar","مشاركة ملفات APK مع أجهزة أخرى على نفس شبكة الـ Wi-Fi."
"sync_server_mode","Server Mode","ar","وضع الخادم"
"sync_server_running","Running","ar","قيد التشغيل"
"sync_server_tap_to_start","Tap to start","ar","اضغط للبدء"
"sync_server_settings","Server Settings","ar","إعدادات الخادم"
"sync_port","Port","ar","المنفذ"
"sync_require_pin","Require PIN","ar","يتطلب رمز PIN"
"sync_require_pin_subtitle","Guard transfers with a password","ar","حماية عمليات النقل بكلمة مرور"
"sync_pin_code","PIN Code","ar","رمز PIN"
"sync_active_downloads","Active Downloads","ar","التنزيلات النشطة"
"sync_active_downloads_count","%d downloading","ar","%d قيد التنزيل"
"sync_no_active_downloads","No active downloads","ar","لا توجد تنزيلات نشطة"
"sync_server_url","Server URL","ar","عنوان URL للخادم"
"sync_active_transfer","Active Transfer","ar","النقل النشط"
"sync_active_transfers_count","Active Transfers (%d)","ar","عمليات النقل النشطة (%d)"
"sync_add_files_to_share","Add Files to Share","ar","إضافة ملفات للمشاركة"
"sync_shared_files_count","Shared Files (%1$d)","ar","الملفات المشتركة (%1$d)"
"sync_empty_state_message","Turn on the server to start sharing files","ar","قم بتشغيل الخادم لبدء مشاركة الملفات"
"sync_delete_cd","Delete","ar","حذف"
"sync_percentage","%1$d%%","ar","%1$d%%"
"sync_transfer_progress","%1$s / %2$s","ar","%1$s / %2$s"
"sync_toast_added_skipped","Added %1$d file(s), skipped %2$d unsupported","ar","تمت إضافة %1$d ملف(ات)، تم تخطي %2$d غير مدعوم"
"sync_toast_added","Added %1$d file(s) to Sync Folder","ar","تمت إضافة %1$d ملف(ات) إلى مجلد المزامنة"
"sync_toast_unsupported","No supported package files selected (apk, apk+, apks, xapk, apkm, zip)","ar","لم يتم تحديد ملفات حزم مدعومة (apk, apk+, apks, xapk, apkm, zip)"
"sync_toast_failed","Failed to copy files","ar","فشل في نسخ الملفات"
"file_size_gb","%1$.1f GB","ar","%1$.1f جيجابايت"
"file_size_mb","%1$.1f MB","ar","%1$.1f ميجابايت"
"file_size_kb","%1$.0f KB","ar","%1$.0f كيلوبايت"
"file_size_b","%1$d B","ar","%1$d بايت"
"setting_retry_root","Retry Root Probe","ar","إعادة محاولة فحص Root"
"setting_section_interface","Interface","ar","الواجهة"
"setting_section_security","Security","ar","الأمان"
"setting_lock_install_title","Lock Installations","ar","قفل التثبيت"
"setting_lock_install_subtitle","Require biometric to confirm install","ar","يتطلب القياسات الحيوية لتأكيد التثبيت"
"setting_lock_uninstall_title","Lock Uninstalls","ar","قفل إلغاء التثبيت"
"setting_lock_uninstall_subtitle","Require biometric to confirm uninstall","ar","يتطلب القياسات الحيوية لتأكيد إلغاء التثبيت"
"setting_biometric_unavailable","No biometric or device lock set up on this device.","ar","لم يتم إعداد قياسات حيوية أو قفل جهاز على هذا الجهاز."
"setting_section_sync_short","Sync","ar","مزامنة"
"setting_sync_control_panel","Sync Control Panel","ar","لوحة تحكم المزامنة"
"setting_section_advanced","Advanced","ar","خيارات متقدمة"
"setting_vt_api_key_title","VirusTotal API Key","ar","مفتاح VirusTotal API"
"setting_vt_api_key_placeholder","Paste API key here…","ar","الصق مفتاح API هنا…"
"setting_diagnostics_title","Diagnostics","ar","التشخيصات"
"setting_installer_package_title","Installer Package","ar","حزمة المثبت"
"backup_settings_title","Backup Settings","ar","إعدادات النسخ الاحتياطي"
"backup_output_path","Output Path","ar","مسار المخرجات"
"backup_filename_template","Filename Template","ar","قالب اسم الملف"
"backup_tags_hint","Tags: {name}, {pkg}, {version}, {code}","ar","العلامات: {name}, {pkg}, {version}, {code}"
"app_name","Universal Installer","de","Universal Installer"
"download_notif_running_text","%1$s / %2$s · %3$d%%","de","%1$s / %2$s · %3$d%%"
"source_action_browse_packages_sub",".APK · .APK+ · .XAPK · .APKS · .APKM","de",".APK · .APK+ · .XAPK · .APKS · .APKM"
"obb_copy_progress","%1$s / %2$s · %3$d%%","de","%1$s / %2$s · %3$d%%"
"obb_notif_running_text","%d%%","de","%d%%"
"apk_info_version_detail","%1$s (%2$d)","de","%1$s (%2$d)"
"uninstall_current_sort_summary","%1$s %2$s","de","%1$s %2$s"
"setting_shizuku_installer_preset_play","Google Play Store","de","Google Play Store"
"setting_shizuku_installer_preset_aurora","Aurora Store","de","Aurora Store"
"setting_shizuku_installer_preset_fdroid","F-Droid","de","F-Droid"
"setting_shizuku_installer_preset_amazon","Amazon Appstore","de","Amazon Appstore"
"setting_shizuku_installer_preset_samsung","Samsung Galaxy Store","de","Samsung Galaxy Store"
"setting_shizuku_installer_preset_huawei","Huawei AppGallery","de","Huawei AppGallery"
"setting_shizuku_installer_preset_xiaomi","Xiaomi GetApps","de","Xiaomi GetApps"
"setting_about_app_name","Universal Installer","de","Universal Installer"
"setting_github_title","GitHub","de","GitHub"
"setting_telegram_title","Telegram","de","Telegram"
"setting_website_subtitle","universal-installer.pwhs.app","de","universal-installer.pwhs.app"
"setting_rate_title","Rate App","de","App bewerten"
"about_creator_subtitle","Pass With High Score","de","Pass With High Score"
"about_license_subtitle","GNU GPL v3","de","GNU GPL v3"
"about_btn_ok","OK","de","OK"
"installer_mode_shizuku","Shizuku","de","Shizuku"
"installer_mode_root","Root","de","Root"
"tv_sync_screen_title","Send to TV","de","An TV senden"
"tv_sync_hero_title","Send an app to your TV","de","Eine App an Ihren TV senden"
"tv_sync_instructions","On the TV, open Universal Installer → Install, then scan the QR shown there.","de","Öffnen Sie auf dem Fernseher Universal Installer → Installieren und scannen Sie dann den dort angezeigten QR-Code."
"tv_sync_btn_scan","Scan TV QR","de","TV QR-Code scannen"
"tv_sync_prompt_scan","Scan the QR on your TV","de","Scannen Sie den QR-Code auf Ihrem Fernseher"
"tv_sync_status_connected","Connected to %1$s","de","Verbunden mit %1$s"
"tv_sync_btn_choose_apk","Choose APK to send","de","APK zum Senden auswählen"
"tv_sync_btn_rescan","Scan a different TV","de","Einen anderen Fernseher scannen"
"tv_sync_status_sending","Sending…","de","Senden…"
"tv_sync_status_sent","Sent ✓ — confirm the install on your TV","de","Gesendet ✓ — bestätigen Sie die Installation auf Ihrem Fernseher"
"tv_sync_status_failed","Failed: %1$s","de","Fehlgeschlagen: %1$s"
"sync_storage_permission_title","Storage Permission Required","de","Speicherberechtigung erforderlich"
"sync_storage_permission_message","Sync Server needs full storage access to share and manage APK files. Please grant \"All files access\" in Settings.","de","Sync Server benötigt vollen Speicherzugriff, um APK-Dateien zu teilen und zu verwalten. Bitte gewähren Sie in den Einstellungen „Zugriff auf alle Dateien“."
"sync_open_settings","Open Settings","de","Einstellungen öffnen"
"sync_qr_code_title","Scan QR Code","de","QR-Code scannen"
