locale,name,default_value
ar,permission_return_channel_name,العودة إلى التطبيق
ar,permission_return_channel_desc,إشعار للعودة إلى التطبيق بعد منح الإذن في إعدادات النظام.
ar,permission_return_title,تم منح الإذن
ar,permission_return_body,اضغط للعودة إلى Universal Installer.
ar,setting_about_subtitle,"معلومات التطبيق، الروابط وتفاصيل الجهاز"
ar,about_section_app,التطبيق
ar,about_section_community,المجتمع
ar,about_section_legal,قانوني
ar,about_section_device,الجهاز
ar,about_creator_title,أنشئ بواسطة
ar,about_license_title,الترخيص
ar,about_device_info_title,معلومات الجهاز
ar,about_device_manufacturer,الشركة المصنعة: %s
ar,about_device_model,الموديل: %s
ar,about_device_board,اللوحة: %s
ar,about_device_arch,ABIs: %s
ar,about_device_sdk,Android SDK: %s
ar,about_device_os,إصدار نظام التشغيل: %s
ar,about_device_density,كثافة الشاشة: %s
ar,about_btn_copy,نسخ
ar,about_copied,تم نسخ معلومات الجهاز
ar,setting_diagnostics_title,التشخيص
ar,setting_diagnostics_subtitle,عرض السجلات وتقارير الأخطاء
ar,diagnostics_title,التشخيص
ar,diagnostics_tab_session,سجلات الجلسة
ar,diagnostics_tab_crashes,تقارير الأخطاء
ar,diagnostics_share,مشاركة التقرير
ar,diagnostics_copy,نسخ
ar,diagnostics_copied,تم النسخ إلى الحافظة
ar,diagnostics_loading,جارٍ التحميل…
ar,diagnostics_no_session_logs,لا توجد تحذيرات أو أخطاء في هذه الجلسة
ar,diagnostics_no_crashes,لم يتم تسجيل أي أعطال
ar,diagnostics_clear_crashes,مسح تقارير الأخطاء
ar,diagnostics_clear_confirm_title,مسح تقارير الأخطاء؟
ar,diagnostics_clear_confirm_body,سيتم حذف جميع سجلات الأعطال المخزنة نهائيًا.
ar,diagnostics_clear,مسح
ar,diagnostics_cancel,إلغاء
de,permission_return_channel_name,Zur App zurückkehren
de,permission_return_channel_desc,Benachrichtigung zur Rückkehr zur App nach Erteilung einer Berechtigung in den Systemeinstellungen.
de,permission_return_title,Berechtigung erteilt
de,permission_return_body,Tippen, um zu Universal Installer zurückzukehren.
de,setting_about_subtitle,"App-Info, Links und Gerätedetails"
de,about_section_app,App
de,about_section_community,Community
de,about_section_legal,Rechtliches
de,about_section_device,Gerät
de,about_creator_title,Erstellt von
de,about_license_title,Lizenz
de,about_device_info_title,Geräteinformationen
de,about_device_manufacturer,Hersteller: %s
de,about_device_model,Modell: %s
de,about_device_board,Board: %s
de,about_device_arch,ABIs: %s
de,about_device_sdk,Android SDK: %s
de,about_device_os,Betriebssystemversion: %s
de,about_device_density,Bildschirmdichte: %s
de,about_btn_copy,Kopieren
de,about_copied,Geräteinfo kopiert
de,setting_diagnostics_title,Diagnose
de,setting_diagnostics_subtitle,Protokolle und Absturzberichte anzeigen
de,diagnostics_title,Diagnose
de,diagnostics_tab_session,Sitzungsprotokolle
de,diagnostics_tab_crashes,Absturzberichte
de,diagnostics_share,Bericht teilen
de,diagnostics_copy,Kopieren
de,diagnostics_copied,In die Zwischenablage kopiert
de,diagnostics_loading,Lädt…
de,diagnostics_no_session_logs,Keine Warnungen oder Fehler in dieser Sitzung
de,diagnostics_no_crashes,Keine Abstürze aufgezeichnet
de,diagnostics_clear_crashes,Absturzberichte löschen
de,diagnostics_clear_confirm_title,Absturzberichte löschen?
de,diagnostics_clear_confirm_body,Alle gespeicherten Absturzprotokolle werden dauerhaft entfernt.
de,diagnostics_clear,Löschen
de,diagnostics_cancel,Abbrechen
es,permission_return_channel_name,Volver a la aplicación
es,permission_return_channel_desc,Notificación para volver a la aplicación después de otorgar un permiso en los ajustes del sistema.
es,permission_return_title,Permiso otorgado
es,permission_return_body,Toca para volver a Universal Installer.
es,setting_about_subtitle,"Información de la aplicación, enlaces y detalles del dispositivo"
es,about_section_app,Aplicación
es,about_section_community,Comunidad
es,about_section_legal,Legal
es,about_section_device,Dispositivo
es,about_creator_title,Creado por
es,about_license_title,Licencia
es,about_device_info_title,Información del dispositivo
es,about_device_manufacturer,Fabricante: %s
es,about_device_model,Modelo: %s
