name,locale,translated_value
"app_name","ar","المثبت العالمي"
"download_notif_running_text","ar","%1$s / %2$s · %3$d%%"
"source_action_browse_packages_sub","ar",".APK · .APK+ · .XAPK · .APKS · .APKM"
"obb_copy_progress","ar","%1$s / %2$s · %3$d%%"
"obb_notif_running_text","ar","%d%%"
"apk_info_version_detail","ar","%1$s (%2$d)"
"uninstall_current_sort_summary","ar","%1$s %2$s"
"setting_shizuku_installer_preset_play","ar","متجر Google Play"
"setting_shizuku_installer_preset_aurora","ar","متجر Aurora"
"setting_shizuku_installer_preset_fdroid","ar","F-Droid"
"setting_shizuku_installer_preset_amazon","ar","متجر تطبيقات Amazon"
"setting_shizuku_installer_preset_samsung","ar","متجر Samsung Galaxy"
"setting_shizuku_installer_preset_huawei","ar","Huawei AppGallery"
"setting_shizuku_installer_preset_xiaomi","ar","Xiaomi GetApps"
"setting_about_app_name","ar","المثبت العالمي"
"setting_github_title","ar","GitHub"
"setting_telegram_title","ar","Telegram"
"setting_website_subtitle","ar","universal-installer.pwhs.app"
"setting_rate_title","ar","قيم التطبيق"
"about_creator_subtitle","ar","Pass With High Score"
"about_license_subtitle","ar","GNU GPL v3"
"about_btn_ok","ar","موافق"
"installer_mode_shizuku","ar","Shizuku"
"installer_mode_root","ar","Root"
"tv_sync_screen_title","ar","إرسال إلى التلفاز"
"tv_sync_hero_title","ar","إرسال تطبيق إلى تلفازك"
"tv_sync_instructions","ar","على التلفاز، افتح المثبت العالمي ← تثبيت، ثم امسح رمز QR المعروض هناك."
"tv_sync_btn_scan","ar","مسح رمز QR للتلفاز"
"tv_sync_prompt_scan","ar","امسح رمز QR على تلفازك"
"tv_sync_status_connected","ar","متصل بـ %1$s"
"tv_sync_btn_choose_apk","ar","اختر APK للإرسال"
"tv_sync_btn_rescan","ar","مسح تلفاز آخر"
"tv_sync_status_sending","ar","جاري الإرسال…"
"tv_sync_status_sent","ar","تم الإرسال ✓ — أكد التثبيت على تلفازك"
"tv_sync_status_failed","ar","فشل: %1$s"
"sync_storage_permission_title","ar","إذن التخزين مطلوب"
"sync_storage_permission_message","ar","يحتاج خادم المزامنة إلى وصول كامل للتخزين لمشاركة وإدارة ملفات APK. يرجى منح \الوصول إلى جميع الملفات\ في الإعدادات."
"sync_open_settings","ar","افتح الإعدادات"
"sync_qr_code_title","ar","مسح رمز QR"
"sync_qr_code_message","ar","افتح الكاميرا وامسح هذا الرمز للوصول إلى الخادم."
"sync_close","ar","إغلاق"
"sync_server_offline","ar","الخادم غير متصل"
"sync_server_starting","ar","جاري البدء…"
"sync_server_online","ar","الخادم متصل"
"sync_server_error","ar","خطأ"
"sync_hero_subtitle","ar","مشاركة ملفات APK مع أجهزة أخرى على نفس شبكة الـ Wi-Fi."
"sync_server_mode","ar","وضع الخادم"
"sync_server_running","ar","قيد التشغيل"
"sync_server_tap_to_start","ar","اضغط للبدء"
"sync_server_settings","ar","إعدادات الخادم"
"sync_port","ar","المنفذ"
"sync_require_pin","ar","يتطلب رمز PIN"
"sync_require_pin_subtitle","ar","حماية عمليات النقل بكلمة مرور"
"sync_pin_code","ar","رمز PIN"
"sync_active_downloads","ar","التنزيلات النشطة"
"sync_active_downloads_count","ar","%d قيد التنزيل"
"sync_no_active_downloads","ar","لا توجد تنزيلات نشطة"
"sync_server_url","ar","عنوان URL للخادم"
"sync_active_transfer","ar","النقل النشط"
"sync_active_transfers_count","ar","عمليات النقل النشطة (%d)"
"sync_add_files_to_share","ar","إضافة ملفات للمشاركة"
"sync_shared_files_count","ar","الملفات المشتركة (%1$d)"
"sync_empty_state_message","ar","قم بتشغيل الخادم لبدء مشاركة الملفات"
"sync_delete_cd","ar","حذف"
"sync_percentage","ar","%1$d%%"
"sync_transfer_progress","ar","%1$s / %2$s"
