Key,Base,Language,Translation
"tv_sync_prompt_scan","Scan the QR on your TV","fr","Scannez le code QR sur votre TV"
"tv_sync_status_connected","Connected to %1$s","fr","Connecté à %1$s"
"tv_sync_btn_choose_apk","Choose APK to send","fr","Choisir l'APK à envoyer"
"tv_sync_btn_rescan","Scan a different TV","fr","Scanner une autre TV"
"tv_sync_status_sending","Sending…","fr","Envoi en cours…"
"tv_sync_status_sent","Sent ✓ — confirm the install on your TV","fr","Envoyé ✓ — confirmez l'installation sur votre TV"
"tv_sync_status_failed","Failed: %1$s","fr","Échec : %1$s"
"sync_storage_permission_title","Storage Permission Required","fr","Autorisation de stockage requise"
"sync_storage_permission_message","Sync Server needs full storage access to share and manage APK files. Please grant ""All files access"" in Settings.","fr","Le serveur de synchronisation nécessite un accès complet au stockage pour partager et gérer les fichiers APK. Veuillez accorder « Accès à tous les fichiers » dans les paramètres."
"sync_open_settings","Open Settings","fr","Ouvrir les paramètres"
"sync_qr_code_title","Scan QR Code","fr","Scanner le code QR"
"sync_qr_code_message","Open your camera and scan this code to access the server.","fr","Ouvrez votre appareil photo et scannez ce code pour accéder au serveur."
"sync_close","Close","fr","Fermer"
"sync_server_offline","Server Offline","fr","Serveur hors ligne"
"sync_server_starting","Starting…","fr","Démarrage…"
"sync_server_online","Server Online","fr","Serveur en ligne"
"sync_server_error","Error","fr","Erreur"
"sync_hero_subtitle","Share APK files to other devices on the same Wi-Fi network.","fr","Partagez des fichiers APK vers d'autres appareils sur le même réseau Wi-Fi."
"sync_server_mode","Server Mode","fr","Mode serveur"
"sync_server_running","Running","fr","En cours d'exécution"
"sync_server_tap_to_start","Tap to start","fr","Appuyer pour démarrer"
"sync_server_settings","Server Settings","fr","Paramètres du serveur"
"sync_port","Port","fr","Port"
"sync_require_pin","Require PIN","fr","Exiger un code PIN"
"sync_require_pin_subtitle","Guard transfers with a password","fr","Protéger les transferts avec un mot de passe"
"sync_pin_code","PIN Code","fr","Code PIN"
"sync_active_downloads","Active Downloads","fr","Téléchargements actifs"
"sync_active_downloads_count","%d downloading","fr","%d en cours de téléchargement"
"sync_no_active_downloads","No active downloads","fr","Aucun téléchargement actif"
"sync_server_url","Server URL","fr","URL du serveur"
"sync_active_transfer","Active Transfer","fr","Transfert actif"
"sync_active_transfers_count","Active Transfers (%d)","fr","Transferts actifs (%d)"
