Key,Base,Language,Translation
"sync_server_starting","Starting…","in",""
"sync_server_online","Server Online","in",""
"sync_server_error","Error","in",""
"sync_hero_subtitle","Share APK files to other devices on the same Wi-Fi network.","in",""
"sync_server_mode","Server Mode","in",""
"sync_server_running","Running","in",""
"sync_server_tap_to_start","Tap to start","in",""
"sync_server_settings","Server Settings","in",""
"sync_port","Port","in",""
"sync_require_pin","Require PIN","in",""
"sync_require_pin_subtitle","Guard transfers with a password","in",""
"sync_pin_code","PIN Code","in",""
"sync_active_downloads","Active Downloads","in",""
"sync_active_downloads_count","%d downloading","in",""
"sync_no_active_downloads","No active downloads","in",""
"sync_server_url","Server URL","in",""
"sync_active_transfer","Active Transfer","in",""
"sync_active_transfers_count","Active Transfers (%d)","in",""
"sync_add_files_to_share","Add Files to Share","in",""
"sync_shared_files_count","Shared Files (%1$d)","in",""
"sync_empty_state_message","Turn on the server to start sharing files","in",""
"sync_delete_cd","Delete","in",""
"sync_percentage","%1$d%%","in",""
"sync_transfer_progress","%1$s / %2$s","in",""
"sync_toast_added_skipped","Added %1$d file(s), skipped %2$d unsupported","in",""
"sync_toast_added","Added %1$d file(s) to Sync Folder","in",""
"sync_toast_unsupported","No supported package files selected (apk, apk+, apks, xapk, apkm, zip)","in",""
"sync_toast_failed","Failed to copy files","in",""
"file_size_gb","%1$.1f GB","in",""
"file_size_mb","%1$.1f MB","in",""
"file_size_kb","%1$.0f KB","in",""
"file_size_b","%1$d B","in",""
"setting_retry_root","Retry Root Probe","in",""
"setting_section_interface","Interface","in",""
"setting_section_security","Security","in",""
"setting_lock_install_title","Lock Installations","in",""
"setting_lock_install_subtitle","Require biometric to confirm install","in",""
"setting_lock_uninstall_title","Lock Uninstalls","in",""
"setting_lock_uninstall_subtitle","Require biometric to confirm uninstall","in",""
"setting_biometric_unavailable","No biometric or device lock set up on this device.","in",""
"setting_section_sync_short","Sync","in",""
"setting_sync_control_panel","Sync Control Panel","in",""
"setting_section_advanced","Advanced","in",""
"setting_vt_api_key_title","VirusTotal API Key","in",""
"setting_vt_api_key_placeholder","Paste API key here…","in",""
"setting_diagnostics_title","Diagnostics","in",""
"setting_installer_package_title","Installer Package","in",""
"backup_settings_title","Backup Settings","in",""
"backup_output_path","Output Path","in",""
"backup_filename_template","Filename Template","in",""
"backup_tags_hint","Tags: {name}, {pkg}, {version}, {code}","in",""
"app_name","Universal Installer","it",""
"download_notif_running_text","%1$s / %2$s · %3$d%%","it",""
"source_action_browse_packages_sub",".APK · .APK+ · .XAPK · .APKS · .APKM","it",""
"obb_copy_progress","%1$s / %2$s · %3$d%%","it",""
"obb_notif_running_text","%d%%","it",""
"apk_info_version_detail","%1$s (%2$d)","it",""
"uninstall_current_sort_summary","%1$s %2$s","it",""
"setting_shizuku_installer_preset_play","Google Play Store","it",""
"setting_shizuku_installer_preset_aurora","Aurora Store","it",""
"setting_shizuku_installer_preset_fdroid","F-Droid","it",""
"setting_shizuku_installer_preset_amazon","Amazon Appstore","it",""
"setting_shizuku_installer_preset_samsung","Samsung Galaxy Store","it",""
"setting_shizuku_installer_preset_huawei","Huawei AppGallery","it",""
"setting_shizuku_installer_preset_xiaomi","Xiaomi GetApps","it",""
"setting_about_app_name","Universal Installer","it",""
"setting_github_title","GitHub","it",""
"setting_telegram_title","Telegram","it",""
"setting_website_subtitle","universal-installer.pwhs.app","it",""
"setting_rate_title","Rate App","it",""
"about_creator_subtitle","Pass With High Score","it",""
"about_license_subtitle","GNU GPL v3","it",""
"about_btn_ok","OK","it",""
"installer_mode_shizuku","Shizuku","it",""
"installer_mode_root","Root","it",""
"tv_sync_screen_title","Send to TV","it",""
"tv_sync_hero_title","Send an app to your TV","it",""
"tv_sync_instructions","On the TV, open Universal Installer → Install, then scan the QR shown there.","it",""
"tv_sync_btn_scan","Scan TV QR","it",""
"tv_sync_prompt_scan","Scan the QR on your TV","it",""
"tv_sync_status_connected","Connected to %1$s","it",""
"tv_sync_btn_choose_apk","Choose APK to send","it",""
"tv_sync_btn_rescan","Scan a different TV","it",""
"tv_sync_status_sending","Sending…","it",""
"tv_sync_status_sent","Sent ✓ — confirm the install on your TV","it",""
"tv_sync_status_failed","Failed: %1$s","it",""
"sync_storage_permission_title","Storage Permission Required","it",""
"sync_storage_permission_message","Sync Server needs full storage access to share and manage APK files. Please grant \""All files access\"" in Settings.","it",""
"sync_open_settings","Open Settings","it",""
"sync_qr_code_title","Scan QR Code","it",""
"sync_qr_code_message","Open your camera and scan this code to access the server.","it",""
"sync_close","Close","it",""
"sync_server_offline","Server Offline","it",""
"sync_server_starting","Starting…","it",""
"sync_server_online","Server Online","it",""
"sync_server_error","Error","it",""
"sync_hero_subtitle","Share APK files to other devices on the same Wi-Fi network.","it",""
"sync_server_mode","Server Mode","it",""
"sync_server_running","Running","it",""
"sync_server_tap_to_start","Tap to start","it",""
"sync_server_settings","Server Settings","it",""
"sync_port","Port","it",""
"sync_require_pin","Require PIN","it",""
"sync_require_pin_subtitle","Guard transfers with a password","it",""
"sync_pin_code","PIN Code","it",""
"sync_active_downloads","Active Downloads","it",""
"sync_active_downloads_count","%d downloading","it",""
"sync_no_active_downloads","No active downloads","it",""
"sync_server_url","Server URL","it",""
"sync_active_transfer","Active Transfer","it",""
"sync_active_transfers_count","Active Transfers (%d)","it",""
"sync_add_files_to_share","Add Files to Share","it",""
"sync_shared_files_count","Shared Files (%1$d)","it",""
"sync_empty_state_message","Turn on the server to start sharing files","it",""
"sync_delete_cd","Delete","it",""
"sync_percentage","%1$d%%","it",""
"sync_transfer_progress","%1$s / %2$s","it",""
"sync_toast_added_skipped","Added %1$d file(s), skipped %2$d unsupported","it",""
"sync_toast_added","Added %1$d file(s) to Sync Folder","it",""
"sync_toast_unsupported","No supported package files selected (apk, apk+, apks, xapk, apkm, zip)","it",""
"sync_toast_failed","Failed to copy files","it",""
"file_size_gb","%1$.1f GB","it",""
"file_size_mb","%1$.1f MB","it",""
"file_size_kb","%1$.0f KB","it",""
"file_size_b","%1$d B","it",""
"setting_retry_root","Retry Root Probe","it",""
"setting_section_interface","Interface","it",""
"setting_section_security","Security","it",""
"setting_lock_install_title","Lock Installations","it",""
"setting_lock_install_subtitle","Require biometric to confirm install","it",""
"setting_lock_uninstall_title","Lock Uninstalls","it",""
"setting_lock_uninstall_subtitle","Require biometric to confirm uninstall","it",""
"setting_biometric_unavailable","No biometric or device lock set up on this device.","it",""
"setting_section_sync_short","Sync","it",""
"setting_sync_control_panel","Sync Control Panel","it",""
"setting_section_advanced","Advanced","it",""
"setting_vt_api_key_title","VirusTotal API Key","it",""
"setting_vt_api_key_placeholder","Paste API key here…","it",""
"setting_diagnostics_title","Diagnostics","it",""
"setting_installer_package_title","Installer Package","it",""
"backup_settings_title","Backup Settings","it",""
"backup_output_path","Output Path","it",""
"backup_filename_template","Filename Template","it",""
"backup_tags_hint","Tags: {name}, {pkg}, {version}, {code}","it",""
"app_name","Universal Installer","ja",""
"download_notif_running_text","%1$s / %2$s · %3$d%%","ja",""
"source_action_browse_packages_sub",".APK · .APK+ · .XAPK · .APKS · .APKM","ja",""
"obb_copy_progress","%1$s / %2$s · %3$d%%","ja",""
"obb_notif_running_text","%d%%","ja",""
"apk_info_version_detail","%1$s (%2$d)","ja",""
"uninstall_current_sort_summary","%1$s %2$s","ja",""
"setting_shizuku_installer_preset_play","Google Play Store","ja",""
"setting_shizuku_installer_preset_aurora","Aurora Store","ja",""
"setting_shizuku_installer_preset_fdroid","F-Droid","ja",""
"setting_shizuku_installer_preset_amazon","Amazon Appstore","ja",""
"setting_shizuku_installer_preset_samsung","Samsung Galaxy Store","ja",""
"setting_shizuku_installer_preset_huawei","Huawei AppGallery","ja",""
"setting_shizuku_installer_preset_xiaomi","Xiaomi GetApps","ja",""
"setting_about_app_name","Universal Installer","ja",""
"setting_github_title","GitHub","ja",""
"setting_telegram_title","Telegram","ja",""
"setting_website_subtitle","universal-installer.pwhs.app","ja",""
"setting_rate_title","Rate App","ja",""
"about_creator_subtitle","Pass With High Score","ja",""
"about_license_subtitle","GNU GPL v3","ja",""
"about_btn_ok","OK","ja",""
"installer_mode_shizuku","Shizuku","ja",""
"installer_mode_root","Root","ja",""
"tv_sync_screen_title","Send to TV","ja",""
"tv_sync_hero_title","Send an app to your TV","ja",""
"tv_sync_instructions","On the TV, open Universal Installer → Install, then scan the QR shown there.","ja",""
"tv_sync_btn_scan","Scan TV QR","ja",""
"tv_sync_prompt_scan","Scan the QR on your TV","ja",""
"tv_sync_status_connected","Connected to %1$s","ja",""
"tv_sync_btn_choose_apk","Choose APK to send","ja",""
"tv_sync_btn_rescan","Scan a different TV","ja",""
"tv_sync_status_sending","Sending…","ja",""
"tv_sync_status_sent","Sent ✓ — confirm the install on your TV","ja",""
"tv_sync_status_failed","Failed: %1$s","ja",""
"sync_storage_permission_title","Storage Permission Required","ja",""
"sync_storage_permission_message","Sync Server needs full storage access to share and manage APK files. Please grant \""All files access\"" in Settings.","ja",""
"sync_open_settings","Open Settings","ja",""
"sync_qr_code_title","Scan QR Code","ja",""
"sync_qr_code_message","Open your camera and scan this code to access the server.","ja",""
"sync_close","Close","ja",""
"sync_server_offline","Server Offline","ja",""
"sync_server_starting","Starting…","ja",""
"sync_server_online","Server Online","ja",""
"sync_server_error","Error","ja",""
"sync_hero_subtitle","Share APK files to other devices on the same Wi-Fi network.","ja",""
"sync_server_mode","Server Mode","ja",""
"sync_server_running","Running","ja",""
"sync_server_tap_to_start","Tap to start","ja",""
"sync_server_settings","Server Settings","ja",""
"sync_port","Port","ja",""
"sync_require_pin","Require PIN","ja",""
"sync_require_pin_subtitle","Guard transfers with a password","ja",""
"sync_pin_code","PIN Code","ja",""
"sync_active_downloads","Active Downloads","ja",""
"sync_active_downloads_count","%d downloading","ja",""
